Year,Title,Artist,Lyrics,Language,Genre
1994.0,7 SECONDS,"N'DOUR, YOUSSOU & CHERRY, NENEH","boul ma sene, boul ma guiss madi re nga fokni mane
khamouma li neka thi sama suuf ak thi guinaw
beugouma kouma khol daldine yaw li neka si yaw
mo ne si man li ne si mane moye dilene diapale

roughness and rudeness, we should be using
on the ones who practice wicked charms
for the sword and the stone, bad to the bone
battle's not over even when it's won

and when a child is born into this world
it has no concept of the tone of skin it's living in

it's not a second, seven seconds away
just as long as i stay, i'll be waiting
it's not a second, seven seconds away
just as long as i stay, i'll be waiting
i'll be waiting, i'll be waiting

j'assume les raisons qui nous poussent de changer tout
j'aimerais qu'on oublie leur couleur pour qu'ils espèrent
beaucoup de sentiments de race qui font qu'ils désespèrent
je veux les deux mains ouvertes
des amis pour parler de leur peine
de leur joie pour qu'ils leur filent
des infos qui ne divisent pas changer
seven seconds away
just as long as i stay, i'll be waiting
it's not a second, seven seconds away
just as long as i stay, i'll be waiting
i'll be waiting, i'll be waiting

and when a child is born into this world
it has no concept of the tone of skin it's living in
and there's a million voices
and there's a million voices
to tell you what she should be thinking
so you better sobre up for just a second

seven seconds away
just as long as i stay, i'll be waiting
it's not a second, seven seconds away
just as long as i stay, i'll be waiting
it's not a second, seven seconds away
just as long as i stay, i'll be waiting
it's not a second, seven seconds away
just as long as i stay, i'll be waiting
it's not a second, seven seconds away
just as long as i stay, i'll be waiting",Anglais,Pop
1994.0,JE DANSE LE MIA,I AM,"t'es fada, je crains dégun, je vous prends tous ici, un par un


au début des années 80, je me souviens des soirées
où l'ambiance était chaude et les mecs rentraient
stan smith aux pieds le regard froid
ils scrutaient la salle le trois-quart en cuir roulé autour du bras
ray ban sur la tête survêtement tacchini
pour les plus classes, des mocassins nebuloni
dès qu'ils passaient, cameo, midnight star
sos band, delegation ou shalamar
tout le monde se levait, des cercles se formaient
des concours de danse un peu partout s'improvisaient
je te propose un voyage dans le temps, via
planète marseille, je danse le mia


le mia
je danse le mia


je dansais le mia jusqu'à c'que la soirée vacille
une bagarre au fond et tout le monde s'éparpille
on râlait que c'était nul, que ça craignait
mais le samedi d'après on revenait tellement qu'on s'emmerdait
j'entends encore le rire des filles
qui assistaient au ballet des renault 12 sur le parking
à l'intérieur, pour elles c'était moins rose
""oh cousine, tu danses ou je t'explose ?""
voilà comment tout s'aggravait en un quart d’heure
le frère rappliquait : ""oh comment tu parles à ma sœur !
viens avec moi, on va se filer
tête à tête je vais te fumer derrière les cyprès
et tout s'arrangeait ou se réglait à la danse
l'un disait ""fils t'y as aucune chance""
eh les filles, mes chaussures brillent, hop un tour je vrille
je te bousille tu te rhabilles et moi je danse le mia
même les voitures c'était le défi
kux 73, jm 120 mon petit
du grand voyou à la plus grosse mauviette
la main sur le volant : ""avec la moquette !""
pare-soleil pioneer le pare-brise arrière
dédé et valérie écrit en gros : sur mon père !
la bonne époque où on sortait la douze sur magic touch
on lui collait la bande rouge à la starsky et hutch
j'avais la nuque longue, eric aussi
malek coco la coupe à la marley
pascal était rasta, des affros sur françois et joe
déjà à la danse à côté d'eux
personne ne touchait une bille, on dansait le mia

le mia
je danse le mia


4, 2, 0, 3, 1


merci à toutes et à tous d'être encore avec nous ce soir
au new starflash laserlight action club
nous sommes ensemble ce soir pour une soirée de bonheur musical
avec un grand concours de danse
de nombreux super cadeaux pour les heureux gagnants
il y aura des t-shirt marlboro, des autocollants pioneer
des caleçons jb et des peluches
à la technique c'est michel, le light jockey c'est momo
on monte sur les tables, on lève les bras bien haut
allez c'est parti...


le mia
je danse le mia


je danse le mia, pas de pacotille
chemises ouvertes, chaînes en or qui brillent
des gestes lents ils prenaient le temps pour enchaîner
les passes qu'ils avaient élaborées dans leur quartier
c'était vraiment trop beau
un mec assurait tout le monde criait : « ah oui minot »
la piste s'enflammait et tous les yeux convergeaient
les différends s'effaçaient et des rires éclataient
beaucoup disaient que nos soirées étaient sauvages
et qu'il fallait entrer avec un batte ou une hache
foutaises, c'étaient les ragots des jaloux
et quoi qu'on en dise, nous on s'amusait beaucoup
aujourd'hui, encore on peut entendre des filles dire
hayya, iam, ils dansent le mia4",Français,Hip-Hop/Rap
1994.0,I LIKE TO MOVE IT,"REEL 2 REAL & STUNTMAN, MAD","i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!
i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!
i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!
i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!


“all girls all over the world! original mad stuntman 'pon ya case man! i love how all the girls a move them body. and when ya move ya body, gonna move it nice and sweet, and sexy, 'right?”


woman, ya cute – and you don't need no make-up
original cute body, you a mek man mud up
woman, ya cute – and you don't need no make-up
original cute body, you a mek man mud up
woman! physically fit, physically fit
physically, physically, physically
woman! physically fit, physically fit
physically, physically, physically
woman, ya nice, sweet, fantastic!
big ship 'pon de ocean, that a big titanic
woman, ya nice, sweet, energetic!
big ship 'pon de ocean, that a big titanic
woman, ya nice, sweet, fantastic!
big ship 'pon de ocean, that a big titanic
woman, ya nice, sweet, energetic!
big ship 'pon de ocean, that a big titanic
woman!

i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!
i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!




woman, ya cute – and you don't need no make-up
original cute body, you a mek man mud up
woman, ya cute – and you don't need no make-up
original cute body, you a mek man mud up
eyeliner – 'pon ya face a mek man mud up
nose powder – 'pon ya face a mek man mud up
pluck ya eyebrow – 'pon ya face a mek man mud up
gal ya lipstick – 'pon ya face a mek man mud up
woman, ya nice, broad face and ya nice hip
make man flip and bust them lip
woman, ya nice and energetic
big ship 'pon de ocean, that a big titanic
woman, ya nice, broad face and ya nice hip
make man flip and bust them lip
woman, ya nice and energetic
big ship 'pon de ocean, that a big titanic
woman!

i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!
i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!
i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!
i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!
i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!
i like to move it, move it
i like to move it, move it
i like to move it, move it
ya like to move it!1",Anglais,Electronique
1994.0,SENSUALITE,"RED, AXELLE","jamais je n'aurais pensé
tant besoin de lui
je me sens si envoutée
que ma maman me dit : ralentis
désir ou amour
tu le sauras un jour


j'aime, j'aime
tes yeux, j'aime ton odeur
tous tes gestes en douceur
lentement dirigés
sensualité
hou ! stop un instant
j'aimerais que ce moment
fixe pour des tas d'années
ta sensualité


il paraît qu'après quelques temps
la passion s'affaiblit
pas toujours apparemment
et maman m'avait dit : ralentis
désir ou amour
tu le sauras un jour

j'aime, j'aime
tes yeux, j'aime ton odeur
tous tes gestes en douceur
lentement dirigés
sensualité
hou ! stop un instant
j'aimerais que ce moment
fixe pour des tas d'années
ta sensualité


je te demande si simplement
ne fais pas semblant
je t'aimerai encore
et encore

désir ou amour
tu le sauras un jour


j'aime, j'aime
tes yeux, j'aime ton odeur
tous tes gestes en douceur
lentement dirigés
sensualité
hou ! stop un instant
j'aimerais que ce moment
fixe pour des tas d'années
ta sensualité
tes yeux, j'aime ton odeur
tous tes gestes en douceur
lentement dirigés
sensualité
hou ! stop un instant
j'aimerais que ce moment
fixe pour des tas d'années
ta sensualité",Français,Variété Française
1994.0,MANGEZ-MOI !,"ZE KICK, BILLY & GAMINS EN FOLIE","un après-midi d'automne
on avait trouvé un moyen de locomotion
alors on est partis à la cambrousse
les champs étaient humides et suffisamment acides
c'était le bon moment pour aller cueillir des champignons


mangez-moi! mangez-moi! mangez-moi!
mangez-moi! mangez-moi! mangez-moi!
c'est la chant du psylo qui supplie
qui joue avec les âmes
et ouvre les volets de la perception


il pleuvait beaucoup ce jour-là
heureusement on avait des capuches
et surtout des pochons solides
là-bas les vaches nous regardaient
d'un air complice et détendu
y avait plus qu'à s'y mettre
pour assurer la cueillette




est-ce que c'est un bon?
mais non c'est pas un bon
car y'a pas de téton
et puis il est trop plat
il a pas la bonne couleur
ne nous décourageons pas
ouvrons les oreilles et écoutons



oh toi, tu marches comme un canard
mais c'est mieux pour le voir
oh putain, j'ai mal au dos
y faudrait un détecteur
tiens voilà un mégot d'pétard
ça doit être un très bon champ
ou alors y en a qui sont passés déjà
et sûrement qu'ils ont tout raflé
c'coin là c'est sûr il est connu
putain franchement comment veux-tu
maintenant il est trop tard
on est bien avancé
on a les pieds tous mouillés


mangez-moi! mangez-moi! mangez-moi!
mangez-moi! mangez-moi! mangez-moi!
plutôt que de m'écraser
pourquoi ne pas me manger?


un après-midi d'automne
on avait trouvé un moyen de locomotion
alors on est partis à la cambrousse
les champs étaient humides et suffisamment acides
c'était le bon moment pour aller cueillir des champignons



gare à la descente
down down
gare à la descente
down down
gare à la descente
down down
bonne chance
mangez-moi, hey hey, man-mangez-moi...1",Français,Variété Française
1994.0,WITHOUT YOU,"CAREY, MARIAH","no, i can't forget this evenin', or your face as you were leavin'
but i guess that's just the way the story goes
you always smile, but in your eyes your sorrow shows
yes, it shows


no, i can't forget tomorrow when i think of all my sorrow
when i had you there, but then i let you go
and now it's only fair that i should let you know
what you should know


i can't live if living is without you
i can't live, i can't give anymore
i can't live if living is without you
i can't give, i can't give anymore


well, i can't forget this evenin' or your face as you were leavin'
but i guess that's just the way the story goes
you always smile, but in your eyes, your sorrow shows
yes, it's shows


i can't live if living is without you
i can't live, i can't give anymore
i can't live if living is without you
i can't live, i can't give anymore
see mariah carey liveget tickets as low as $52
no, i can't live, no, i can't live
no, i, no, no, no, no, i
can't live (no, i can't live) if living is without you (no, i can't live)
i can't live, i can't give anymore
can't live (no, i can't live, no, i can't live)
no, no, i, no, no, no, no, i10",Anglais,R&B
1994.0,THE RHYTHM OF THE NIGHT,CORONA,"this is the rhythm of the night
the night, oh yeah
the rhythm of the night
this is the rhythm of my life
my life, oh yeah
the rhythm of my life


you could put some joy upon my face
oh, sunshine in an empty place
take me to the top, and babe i'll make you stay
oh, i can ease you of your pain
feel you give me love again
round and round we go, each time i hear you say


this is the rhythm of the night
the night, oh yeah
the rhythm of the night
this is the rhythm of my life
my life, oh yeah
the rhythm of my life



won't you teach me how to love and learn
there'll be nothing left for me to yearn
think of me and burn, and let me hold your hand
i don't wanna face the world in tears
please think again, i'm on my knees
sing that song to me, no reason to repent
i know you wanna say it


this is the rhythm of the night
the night, oh yeah
the rhythm of the night
this is the rhythm of my life
my life, oh yeah
the rhythm of my life


this is the rhythm of the night
the night, oh yeah
the rhythm of the night
this is the rhythm of my life
my life, oh yeah
the rhythm of my life (life, life, life, life)


(oh, right) yeah, (oh, right) yeah, (oh, right) yeah
(oh, right) yeah, (oh, right) yeah, (oh, right) yeah
(oh, right) yeah
this is the rhythm of the night
ooooh-oooooh
this is the rhythm of the night
ooooh-oooooh
rhythm of the night
this is the rhythm of the night

this is the rhythm of the night
the night, oh yeah
the rhythm of the night
this is the rhythm of my life
my life, oh yeah
the rhythm of my life


this is the rhythm of the night
the night, oh yeah
the rhythm of the night
this is the rhythm of my life
my life, oh yeah
the rhythm of my life (life, life, life, life)


this is the rhythm of the night5",Anglais,Electronique
1994.0,IT'S ALRIGHT,EAST 17,"don't you worry, cos it's alright
don't you worry, child of the night
cos in the morning
come with the new day sun
love - an everlasting light


we are the seed of the new breed
we'll succeed our time has come
we are the new
these words are true
let the light of love shine through


it's alright
it's alright
it's alright
it's really alright
it's alright
it's really alright


alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright it's ready alright

no don't be so sad
cos love is by your side
no don't be so sad
cos life is 2 short 2 live
no don't be so sad
i'll be mad if you're this
it's alright
the message that i give


we are the seed of the new breed
we'll succeed our time has come
we are the new
these words are true
let the light of love shine through


it's alright
it's alright
it's alright
it's really alright
it's alright
it's really alright


alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright it's ready alright

listen 2 me
dreams can come true
call out 2 love
it will answer you
4 get your trouble and smile
let your heart speak awhile
let the light of love shine through


we are the seed of the new breed
we'll succeed our time has come
we are the new
these words are true
let the light of love shine through


it's alright
it's alright
it's alright
it's really alright
it's alright
it's really alright


alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright it's ready alright

take your nightmare
change 2 dream
flow in the rhythm like a stream
fear no evil, fear no man
open up the mind
and the beats goes bam
rhythm rolling, running smooth
just like a little love
sent 2 soothe
ease the pressure, let it all go
don't be afraid let the feeling flow


we are the seed of the new breed
we'll succeed our time has come
we are the new
these words are true
let the light of love shine through


alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright it's ready alright

alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright
everything's gonna be alright
alright, alright it's ready alright


it's ready alright",Anglais,Pop
1994.0,THE POWER OF LOVE,"DION, CELINE","the whispers in the morning
of lovers sleeping tight
are rolling by like thunder now
as i look in your eyes


i hold on to your body
and feel each move you make
your voice is warm and tender
a love that i could not forsake


'cause i'm your lady
and you are my man
whenever you reach for me
i'll do all that i can


lost is how i'm feeling lying in your arms
when the world outside's too
much to take
that all ends when i'm with you


even though there may be times
it seems i'm far away
never wonder where i am
'cause i am always by your side

'cause i'm your lady
and you are my man
whenever you reach for me
i'll do all that i can


we're heading for something
somewhere i've never been
sometimes i am frightened
but i'm ready to learn
of the power of love


the sound of your heart beating
made it clear
suddenly the feeling that i can't go on
is light years away


'cause i'm your lady
and you are my man
whenever you reach for me
i'm gonna do all that i can


we're heading for something
somewhere i've never been
sometimes i am frightened
but i'm ready to learn
of the power of love

the power of love
the power of love
sometimes i am frightened
but i'm ready to learn
of the power of love


the power of love
as i look into your eyes
the power of love
(the power of love)
the power of love3",Anglais,Pop
1994.0,LA SOLITUDINE,"PAUSINI, LAURA","marco se n'è andato e non ritorna più
e il treno delle sette e trenta senza lui
è un cuore di metallo senza l'anima
nel freddo del mattino grigio di città
a scuola il banco è vuoto, marco è dentro me
è dolce il suo respiro fra i pensieri miei
distanze enormi sembrano dividerci
ma il cuore batte forte dentro me


chissà se tu mi penserai
se con i tuoi non parli mai
se ti nascondi come me
sfuggi gli sguardi e te ne stai
rinchiuso in camera e non vuoi mangiare
stringi forte a te il cuscino e
piangi e non lo sai
quanto altro male ti farà la solitudine
(na-nai-nai-nai-na-na)
(na-nai-na, na-nai-na)


marco, nel mio diario ho una fotografia
hai gli occhi di bambino un poco timido
la stringo forte al cuore e sento che ci sei
fra i compiti d'inglese e matematica
tuo padre e i suoi consigli, che monotonia
lui con il suo lavoro ti ha portato via
di certo il tuo parere non l'ha chiesto mai
ha detto: ""un giorno tu mi capirai""
see laura pausini liveget tickets as low as $63
chissà se tu mi penserai
se con gli amici parlerai
per non soffrire più per me
ma non è facile, lo sai
a scuola non ne posso più
e i pomeriggi senza te
studiare è inutile
tutte le idee si affollano su te


non è possibile dividere la vita di noi due
ti prego, aspettami, amore mio
ma illuderti non so


la solitudine fra noi
questo silenzio dentro me
e l'inquietudine di vivere la vita senza te
ti prego, aspettami perché
non posso stare senza te
non è possibile dividere la storia di noi due
la solitudine fra noi
questo silenzio dentro me
e l'inquietudine di vivere la vita senza te
ti prego, aspettami perché
non posso stare senza te
non è possibile dividere la storia di noi due
la solitudine",Italien,Variété Française
